"DistEnd","DistStart","Salary","Talent","Wealth","tick","run","random_seed"
1,1,128274.04679766833,69.6457138550579,6854.234423678464,1.0,2,1
0,1,53591.828832980216,26.689765952948378,2506.6794105279605,1.0,2,1
0,1,6750.232347735954,7.6931351844042455,1227.3963377909997,1.0,2,1
1,1,253892.13398172508,106.18644641361587,10606.786109063374,1.0,2,1
1,1,353755.4814955215,143.435222330811,18314.622394480448,1.0,2,1
1,1,426122.01611414005,158.044724689496,16406.69452933748,1.0,2,1
0,1,14600.934200741332,11.846317074106834,521.4339016593938,1.0,2,1
0,1,23827.45116597315,18.39353919191259,2287.594062904032,1.0,2,1
0,1,71578.71234705565,33.07671565743117,3380.329994203442,1.0,2,1
0,1,33050.751517382276,22.229315719286483,2106.9703179015755,1.0,2,1
1,1,308374.08670676994,128.49929004247014,16073.192081921767,1.0,2,1
0,1,77454.1839225333,59.75546863392813,3060.5075589161615,1.0,2,1
1,1,207774.8948434008,105.07639346664745,10650.270624946792,1.0,2,1
0,1,15314.188804593361,13.514890878660317,1113.030136533263,1.0,2,1
0,1,-4105.715014630994,4.021877478916415,671.6114226788773,1.0,2,1
1,1,373082.45685193234,140.7435701703346,13755.63545794748,1.0,2,1
1,1,208306.9118955981,102.36500511825605,10646.48047223572,1.0,2,1
0,1,21107.530866963025,12.554319266250626,931.0304480635449,1.0,2,1
0,1,14092.20000478325,11.779618077371346,814.8616364736985,1.0,2,1
1,1,280034.6939780308,108.72746783839278,11830.979660068535,1.0,2,1
0,1,27091.551432563083,16.486966209220963,1836.073661238192,1.0,2,1
0,1,41351.798903825766,23.415084357641373,1519.5294904113653,1.0,2,1
1,1,304870.4089804407,140.1755287146797,14960.20391092271,1.0,2,1
1,1,126086.21468183765,76.42033044684935,6807.71964845656,1.0,2,1
0,1,18591.355187277968,11.66184453061825,961.0202155622541,1.0,2,1
1,1,173573.65741501286,81.47234571418022,5876.213726265196,1.0,2,1
0,1,21430.065390361593,13.950901432038131,1077.9133119810033,1.0,2,1
1,1,256002.11031794094,103.71335954989686,10366.25734011961,1.0,2,1
0,1,85671.76407843037,42.247079401981324,4320.808936979925,1.0,2,1
0,1,53436.62686439061,28.060921161431768,2285.4430763623773,1.0,2,1
0,1,64498.15063115292,37.0811125782967,3338.543561505683,1.0,2,1
0,1,45342.482911120576,25.910525101730258,2874.9728925852914,1.0,2,1
0,1,42404.06215195213,21.228176338101072,2081.8302257725663,1.0,2,1
0,1,95136.70910150142,44.0357139334938,4822.534851232689,1.0,2,1
0,1,63640.219617708564,33.498409643150204,3063.021422154811,1.0,2,1
0,1,17203.39511030971,12.133914565279365,1152.83453958284,1.0,2,1
0,1,19425.444031723884,14.287936468909683,1125.1836725700364,1.0,2,1
0,1,51925.02556057771,30.34564211802208,2959.517568717143,1.0,2,1
0,1,83689.24553641146,37.901926742604566,3413.992781682949,1.0,2,1
0,1,37069.38585610207,21.73061802093293,2573.8858718697106,1.0,2,1
0,1,65295.275209332336,33.860757176154074,4043.634553342609,1.0,2,1
0,1,1058.527672329744,2.7931524006127493,762.5608094213932,1.0,2,1
0,1,71959.44263931765,38.11102000144397,4290.513497230201,1.0,2,1
0,1,53631.662068912425,31.301551085459245,3067.278564054812,1.0,2,1
0,1,39140.73264362613,21.42485033308545,2203.342133617439,1.0,2,1
1,1,195983.41807041984,81.92157286858581,6460.52008570346,1.0,2,1
0,1,60262.344229357004,29.48446911350972,2837.923681715834,1.0,2,1
0,1,4327.1053121944005,7.488338445690972,271.98715963006214,1.0,2,1
0,1,118199.78913959806,61.53386300879539,4710.5603294052335,1.0,2,1
1,1,188715.24960801582,81.84875165246264,5822.160518125602,1.0,2,1
1,1,498743.4477920633,184.09685529307654,21529.8596129099,1.0,2,1
0,1,44602.442322974064,23.86446609841288,2565.8869471920734,1.0,2,1
1,1,258069.85096096894,106.24094768465585,10337.80403519695,1.0,2,1
1,1,371017.3458616624,138.1703953182942,12807.713753764676,1.0,2,1
0,1,20872.54838425557,13.56256369272411,1182.5919196376008,1.0,2,1
1,1,188926.33651959614,91.56858779940474,9136.66219515273,1.0,2,1
1,1,323145.47011800436,129.1661480484289,12660.002821645761,1.0,2,1
0,1,66053.7574851202,31.814540283383963,2701.3966678950037,1.0,2,1
1,1,262679.4270774059,118.39225133822688,14025.496330330712,1.0,2,1
0,1,59918.966215686356,32.14547397006865,3416.2378605765007,1.0,2,1
0,1,129.02252255224832,1.451136872364497,0.0,1.0,2,1
1,1,195114.7811721096,105.71486991486995,9537.485787912661,1.0,2,1
1,1,199744.90899595045,90.42441046937212,6924.026228785981,1.0,2,1
1,1,227124.0502715247,117.74064409404393,13673.926268077514,1.0,2,1
0,1,63539.31676171545,34.30362687686384,3970.445593553116,1.0,2,1
0,1,17840.909676983574,11.294049828941006,904.3211064775917,1.0,2,1
0,1,45623.98435854578,26.2176174419672,2190.8616131545164,1.0,2,1
0,1,-19921.163103637515,15.81300591986245,0.0,1.0,2,1
0,1,18654.96957924584,14.516236551190651,1073.7518957944476,1.0,2,1
0,1,3312.7586555031435,5.786685960446695,438.47449872876547,1.0,2,1
0,1,46794.71493268762,23.557766754859447,2033.8399709957273,1.0,2,1
0,1,31242.04076269219,18.804824433106823,1536.2608282482647,1.0,2,1
1,1,156534.8320795027,87.56220057709719,6437.317460880716,1.0,2,1
0,1,74735.35470740603,36.72633443709912,3546.1990315806775,1.0,2,1
0,1,11709.189089215206,12.612735531530905,817.7211103481808,1.0,2,1
0,1,3210.328865399863,8.52729047084313,1257.9395803723746,1.0,2,1
0,1,15041.563009616184,11.415779653717534,1888.445456145145,1.0,2,1
0,1,16178.534173284681,11.170478204560942,1029.9079724882026,1.0,2,1
0,1,10303.645579180833,12.678103582302978,852.4367044494866,1.0,2,1
0,1,57676.29565369351,31.771359158761598,2566.2549850569767,1.0,2,1
0,1,126173.23220215786,56.84219698374853,4186.252793025394,1.0,2,1
0,1,26336.23669169599,20.570444254810067,1721.923630702141,1.0,2,1
1,1,221035.5094204739,102.69103828330167,8222.629293091833,1.0,2,1
0,1,10875.37705284493,10.11366889745589,644.0378138872915,1.0,2,1
1,1,248572.811783245,112.99942390522762,10727.908504858968,1.0,2,1
1,1,169718.80731816986,76.80281833762473,6355.005555150211,1.0,2,1
0,1,79140.96881930633,36.992798155531055,3656.1417545413083,1.0,2,1
0,1,45732.71842307689,26.048619015374676,2614.332936494732,1.0,2,1
1,1,567815.9954587736,199.39132506058934,24381.489946535938,1.0,2,1
1,1,228408.49359558185,102.60318385897571,11022.128133072758,1.0,2,1
0,1,93090.42970093426,43.99634837683731,1261.7577942947696,1.0,2,1
